,fCHL μgL WS HR mean,fCHL μgL EXO HR mean,fCHL μgL EXO HR median,NO3 uM SUNA HR mean,CL_ID,Location,Latitude,Longitude,USGS_Stati,Station_ID,USGS_Sta_1,DigitalLat,DigitalLon,Subregions
179,19.8446146,12.65264138,12.74206428,9.863882605,A3577,San Joaquin River,38.093158,-121.576492, , ,,,,Central Delta Tidal Zone
180,19.69092423,12.50758806,12.41142889,9.6362485,A3578,San Joaquin River,38.09167,-121.575185, , ,,,,Central Delta Tidal Zone
181,20.23976881,11.82366037,11.72155689,9.599829115,A3579,San Joaquin River,38.090382,-121.574017, , ,,,,Central Delta Tidal Zone
182,20.62275356,11.00848303,11.02295409,9.565470625,A3580,San Joaquin River,38.088965,-121.573699, , ,,,,Central Delta Tidal Zone
183,21.12960222,11.71407186,11.62674651,9.51068775,A3581,San Joaquin River,38.087503,-121.574122, , ,,,,Central Delta Tidal Zone
184,20.85908541,11.93363274,11.82135729,9.589124769,A3582,San Joaquin River,38.086095,-121.573998, , ,,,,Central Delta Tidal Zone
185,20.01435364,11.18188979,11.29185049,9.787287,A3583,San Joaquin River,38.084571,-121.575105, , ,,,,Central Delta Tidal Zone
186,19.40591831,10.25395796,10.24422814,9.96814475,A3584,San Joaquin River,38.083194,-121.574906, , ,,,,Central Delta Tidal Zone
187,19.08161231,10.99903149,11.18869867,10.25057954,A3585,San Joaquin River,38.081878,-121.574814, , ,,,,Central Delta Tidal Zone
188,18.86367358,11.15464926,11.16046721,10.42520188,A3586,San Joaquin River,38.080465,-121.574039, , ,,,,Central Delta Tidal Zone
189,19.02820029,11.12832047,11.09836277,10.62214031,A3587,San Joaquin River,38.078849,-121.573961, , ,,,,Central Delta Tidal Zone
190,18.13983523,10.86964224,10.81998206,10.6253793,A3588,San Joaquin River,38.077527,-121.57269, , ,,,,Central Delta Tidal Zone
191,17.93434157,10.54791266,10.48008783,10.5799535,A3589,San Joaquin River,38.077174,-121.570212, , ,,,,Central Delta Tidal Zone
